,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
207,MICHAEL AMADIO,VGK,3.1228453947696813,2.5193535145372126,79.31666666666666,181106,2.362312128844474,1.9057937912027663,55.348020248249306
208,MICHAEL BUNTING,TOR,2.461296854540704,1.337126616039312,51.25,120670,2.8815182687305803,1.5654165260948043,64.79785294094305
209,MICHAEL EYSSIMONT,T.B,0.9252834212966252,0.7276188847608858,30.616666666666667,90372,1.813293585556805,1.4259270468912295,55.97931698114715
210,MICHAEL MCLEOD,N.J,4.384315327974034,3.8309851271333137,106.41666666666667,271451,2.4719710541435425,2.159991614358642,53.367680852723545
211,MIKA ZIBANEJAD,NYR,3.092210320755837,3.0353349421638978,93.06666666666666,211008,1.9935453357308406,1.9568778280426276,50.46409594830833
212,MIKEY ANDERSON,L.A,5.956305817642711,6.42301769694313,123.78333333333333,181101,2.8871281733558316,3.113351785242395,48.11495402494926
213,MIKHAIL SERGACHEV,T.B,4.18478041165508,5.689691276289519,132.51666666666665,180741,1.894756569231328,2.576139931410171,42.37979047288306
214,MIKKO RANTANEN,COL,7.276996122207488,4.718428188352842,123.03333333333333,211078,3.548792473577209,2.301048696568712,60.664766279264406
215,MILES WOOD,N.J,2.074728992185554,2.381734502734614,46.18333333333333,150873,2.6954256123666527,3.094277953751213,46.55550291280284
216,MIRO HEISKANEN,DAL,7.927617087727406,7.1798173442948565,194.2,241444,2.4493152691227826,2.218275183613241,52.47493956302562
217,MITCHELL MARNER,TOR,7.08161268034018,4.5669977266807065,144.28333333333333,241164,2.944877630729427,1.8991789090967475,60.79362630303036
218,MORGAN BARRON,WPG,2.1287591112777573,2.187630640109999,61.0,150865,2.0938614209289415,2.1517678427311466,49.318046652143565
219,MORGAN GEEKIE,SEA,3.7793754106387465,5.548881596419958,92.3,241388,2.456798750144364,3.607073627141901,40.51534394666537
220,MORGAN RIELLY,TOR,8.375479884212831,5.791385724442075,168.35,241164,2.985024015757469,2.064051936243092,59.12020425390379
221,NATE SCHMIDT,WPG,2.862198361195621,4.387571936706079,101.6,150865,1.6902746227533196,2.591085789393354,39.479848927407076
222,NATHAN BASTIAN,N.J,2.644420997472478,3.4073989827884335,75.01666666666667,271451,2.1150667831372854,2.72531356099497,43.69629311674386
223,NATHAN MACKINNON,COL,8.393052002997132,6.070023227832277,140.81666666666666,211078,3.576161345814851,2.586351475937531,58.03089501399087
224,NEAL PIONK,WPG,4.294582017697391,4.5927535563241655,116.08333333333334,150865,2.2197408849548608,2.3738568273893743,48.32249195417829
225,NICHOLAS PAUL,T.B,3.8572306784335497,3.6426754519343354,88.25,180741,2.622479781371252,2.476606539558755,51.43038607930344
226,NICK BJUGSTAD,EDM,3.5556554577779003,4.225013507297259,91.48333333333333,211342,2.3320021220623866,2.7710053973893483,45.69858290769158
227,NICK COUSINS,FLA,4.545008987770412,4.934241934679445,111.19999999999999,271221,2.4523429790128124,2.662360756122003,47.94692138601793
228,NICK FOLIGNO,BOS,1.6766429877607132,2.4585675662383424,61.5,180681,1.6357492563519154,2.3986025036471634,40.545528839862214
229,NICK PERBIX,T.B,6.916430208599191,4.735331173753362,111.73333333333332,180741,3.714073501037752,2.542838935786412,59.359524981987974
230,NICO HISCHIER,N.J,7.145482491003344,4.866727012209592,129.98333333333335,271451,3.2983378596758604,2.2464697068796675,59.48516373355063
231,NICOLAS HAGUE,VGK,4.172211005119604,3.4782220027409463,110.88333333333333,181106,2.2576220680039945,1.8820981827547583,54.53561910590948
232,NICOLAS ROY,VGK,3.204900257056577,3.019598576473069,76.96666666666667,181106,2.498406436856578,2.3539529829586505,51.48848674840567
233,NIKITA KUCHEROV,T.B,4.247624877607446,4.211856331676242,98.93333333333334,180741,2.5760528233468336,2.554360308968071,50.2114109899077
234,NIKO MIKKOLA,NYR,4.415151733206582,4.476553164306093,97.06666666666666,211008,2.72914598893264,2.767100170244151,49.65472633309791
235,NIKOLAJ EHLERS,WPG,0.6232182444073255,0.8106539128348229,21.166666666666668,30175,1.766602897532576,2.2979166033113088,43.46400348591734
236,NINO NIEDERREITER,WPG,2.3633260575588766,3.5985689375083867,80.0,150865,1.7724945431691572,2.69892670313129,39.64051798151827
237,NOAH DOBSON,NYI,4.825853590620678,4.319594101223626,98.86666666666666,180801,2.928704134564134,2.621466413419598,52.76782234427147
238,NOEL ACCIARI,TOR,3.445142493117598,4.660953586571846,110.2,241164,1.8757581632219225,2.5377242758104424,42.50063728888822
